ip,whois_network_age_days,port_count_bucket,has_non_web_ports,root_2xx_html,root_redirect_like,http_any_is_html,http_any_supports_http2,server_family,cert_present,cert_validation_group,cert_remaining_days,cert_chain_len,cert_recently_issued,cert_short_lived,cert_age_ratio,has_dns_names_data,dns_num_labels,dns_max_label_length,dns_label_entropy,dns_brand_plus_auth_combo,dns_has_brand_token,dns_suspicious_token_count,dns_has_digit_hyphen_pattern,dns_has_punycode,label
217.70.185.65,8.463792414689122,2_3,0,0,0,1,0,other,1,dv,6.790097235513905,1.0986122886681096,1,0,0.0,1,3,8,1.810908670343499,0,0,2,0,0,0
203.205.254.157,0.0,2_3,0,0,0,1,1,other,1,ov_ev,6.966024187106113,0.6931471805599453,1,0,0.0,1,4,21,1.698092906729669,0,0,3,1,1,0
104.16.132.229,8.17948018535889,4_plus,1,0,0,1,1,edge_or_cdn,1,dv,6.725033642166843,1.0986122886681096,1,1,0.0,1,5,19,2.096690022956768,0,0,3,1,0,0
23.55.104.19,8.4368504387337,2_3,0,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,5,18,2.604194450702308,0,0,2,1,0,0
89.221.239.1,5.262690188904886,2_3,0,0,1,1,1,common_self_managed,1,ov_ev,6.963189985870238,1.0986122886681096,1,0,0.0,1,3,14,1.8921551658484175,0,0,3,0,0,0
204.93.207.22,8.57866451350434,4_plus,1,0,0,1,0,other,1,dv,6.694562058521095,0.6931471805599453,1,1,0.0,1,4,21,1.8826806098111495,0,0,1,0,0,0
98.82.161.185,0.0,2_3,0,0,0,1,0,other,1,dv,7.020190708311925,1.0986122886681096,1,0,0.0,1,4,26,2.1334889395168735,0,1,4,1,0,0
194.226.65.229,7.4821189235521155,1,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,4,1.792481250360578,0,0,0,0,0,0
142.251.208.9,8.352318548226004,2_3,0,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,3,15,2.1433740081353796,0,0,2,1,0,0
172.217.20.142,8.361240889642351,2_3,0,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,3,16,2.1884024809527136,0,0,2,1,0,0
34.160.35.160,6.9930151229329605,1,0,0,0,1,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,7,24,1.7622775468242138,0,1,3,0,0,0
72.21.206.80,8.845345196421732,1,0,0,0,1,0,other,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,24,1.867247510413731,1,1,6,1,0,0
20.231.239.246,7.726212650507529,2_3,0,0,0,0,1,common_self_managed,1,ov_ev,6.859614903654202,1.0986122886681096,1,0,0.0,1,4,27,2.0611162187422023,1,1,4,0,0,0
35.186.224.24,7.878155336503324,2_3,0,0,0,0,1,other,1,ov_ev,6.693323668269949,0.6931471805599453,1,1,0.0,1,7,24,2.159205965136764,1,1,5,0,0,0
142.251.208.164,8.352318548226004,2_3,0,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,3,15,2.0989295636909353,0,0,2,1,0,0
151.101.193.140,7.969703583278656,2_3,0,0,0,0,1,other,1,ov_ev,6.771935555839602,0.6931471805599453,1,0,0.0,1,5,23,2.055882674160992,0,0,5,1,0,0
13.107.6.156,8.07215530818825,2_3,0,0,0,0,1,unknown,1,ov_ev,6.813444599510896,0.6931471805599453,1,0,0.0,1,5,25,2.0479714752044837,1,1,4,0,0,0
95.100.181.17,8.497806477616047,2_3,0,0,0,1,0,edge_or_cdn,1,ov_ev,6.694562058521095,0.6931471805599453,1,0,0.0,0,0,0,0.0,0,0,0,0,0,0
151.101.193.6,7.969703583278656,2_3,0,0,0,0,0,other,1,dv,6.930494765951626,0.6931471805599453,1,0,0.0,1,5,21,1.9554924382823795,0,0,1,1,0,0
142.250.201.68,8.352318548226004,2_3,0,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,3,15,2.0821542858650806,0,0,2,1,0,0
8.8.4.4,1.6094379124341003,2_3,1,0,1,1,1,other,1,dv,6.734591659972948,1.0986122886681096,1,1,0.0,1,4,21,2.0080282259654507,1,1,5,1,0,0
